date,KBFI,KSEA,KRNT
201505010001,0,0,0
201505010002,0,0,0
201505010003,0,0,0
201505010004,0,0,0
201505010005,0,0,0
201505010006,0,0,0
201505010007,0,0,0
201505010008,0,0,0
201505010009,0,0,0
201505010010,0,0,0
201505010011,0,0,0
201505010012,0,0,0
201505010013,0,0,0
201505010014,0,0,0
201505010015,0,0,0
201505010016,0,0,0
201505010017,0,0,0
201505010018,0,0,0
201505010019,0,0,0
201505010020,0,0,0
201505010021,0,0,0
201505010022,0,0,0
201505010023,0,0,0
201505010024,0,0,0
201505010025,0,0,0
201505010026,0,0,0
201505010027,0,0,0
201505010028,0,0,0
201505010029,0,0,0
201505010030,0,0,0
201505010031,0,0,0
201505010032,0,0,0
201505010033,0,0,0
201505010034,0,0,0
201505010035,0,0,0
201505010036,0,0,0
201505010037,0,0,0
201505010038,0,0,0
201505010039,0,0,0
201505010040,0,0,0
201505010041,0,0,0
201505010042,0,0,0
201505010043,0,0,0
201505010044,0,0,0
201505010045,0,0,0
201505010046,0,0,0
201505010047,0,0,0
201505010048,0,0,0
201505010049,0,0,0
201505010050,0,0,0
201505010051,0,0,0
201505010052,0,0,0
201505010053,0,0,0
201505010054,0,0,0
201505010055,0,0,0
201505010056,0,0,0
201505010057,0,0,0
201505010058,0,0,0
201505010059,0,0,0
201505010100,0,0,0
201505010101,0,0,0
201505010102,0,0,0
201505010103,0,0,0
201505010104,0,0,0
201505010105,0,0,0
201505010106,0,0,0
201505010107,0,0,0
201505010108,0,0,0
201505010109,0,0,0
201505010110,0,0,0
201505010111,0,0,0
201505010112,0,0,0
201505010113,0,0,0
201505010114,0,0,0
201505010115,0,0,0
201505010116,0,0,0
201505010117,0,0,0
201505010118,0,0,0
201505010119,0,0,0
201505010120,0,0,0
201505010121,0,0,0
201505010122,0,0,0
201505010123,0,0,0
201505010124,0,0,0
201505010125,0,0,0
201505010126,0,0,0
201505010127,0,0,0
201505010128,0,0,0
201505010129,0,0,0
201505010130,0,0,0
201505010131,0,0,0
201505010132,0,0,0
201505010133,0,0,0
201505010134,0,0,0
201505010135,0,0,0
201505010136,0,0,0
201505010137,0,0,0
201505010138,0,0,0
201505010139,0,0,0
201505010140,0,0,0
201505010141,0,0,0
201505010142,0,0,0
201505010143,0,0,0
201505010144,0,0,0
201505010145,0,0,0
201505010146,0,0,0
201505010147,0,0,0
201505010148,0,0,0
201505010149,0,0,0
201505010150,0,0,0
201505010151,0,0,0
201505010152,0,0,0
201505010153,0,0,0
201505010154,0,0,0
201505010155,0,0,0
201505010156,0,0,0
201505010157,0,0,0
201505010158,0,0,0
201505010159,0,0,0
201505010200,0,0,0
201505010201,0,0,0
201505010202,0,0,0
201505010203,0,0,0
201505010204,0,0,0
201505010205,0,0,0
201505010206,0,0,0
201505010207,0,0,0
201505010208,0,0,0
201505010209,0,0,0
201505010210,0,0,0
201505010211,0,0,0
201505010212,0,0,0
201505010213,0,0,0
201505010214,0,0,0
201505010215,0,0,0
201505010216,0,0,0
201505010217,0,0,0
201505010218,0,0,0
201505010219,0,0,0
201505010220,0,0,0
201505010221,0,0,0
201505010222,0,0,0
201505010223,0,0,0
201505010224,0,0,0
201505010225,0,0,0
201505010226,0,0,0
201505010227,0,0,0
201505010228,0,0,0
201505010229,0,0,0
201505010230,0,0,0
201505010231,0,0,0
201505010232,0,0,0
201505010233,0,0,0
201505010234,0,0,0
201505010235,0,0,0
201505010236,0,0,0
201505010237,0,0,0
201505010238,0,0,0
201505010239,0,0,0
201505010240,0,0,0
201505010241,0,0,0
201505010242,0,0,0
201505010243,0,0,0
201505010244,0,0,0
201505010245,0,0,0
201505010246,0,0,0
201505010247,0,0,0
201505010248,0,0,0
201505010249,0,0,0
201505010250,0,0,0
201505010251,0,0,0
201505010252,0,0,0
201505010253,0,0,0
201505010254,0,0,0
201505010255,0,0,0
201505010256,0,0,0
201505010257,0,0,0
201505010258,0,0,0
201505010259,0,0,0
201505010300,0,0,0
201505010301,0,0,0
201505010302,0,0,0
201505010303,0,0,0
201505010304,0,0,0
201505010305,0,0,0
201505010306,0,0,0
201505010307,0,0,0
201505010308,0,0,0
201505010309,0,0,0
201505010310,0,0,0
201505010311,0,0,0
201505010312,0,0,0
201505010313,0,0,0
201505010314,0,0,0
201505010315,0,0,0
201505010316,0,0,0
201505010317,0,0,0
201505010318,0,0,0
201505010319,0,0,0
201505010320,0,0,0
201505010321,0,0,0
201505010322,0,0,0
201505010323,0,0,0
201505010324,0,0,0
201505010325,0,0,0
201505010326,0,0,0
201505010327,0,0,0
201505010328,0,0,0
201505010329,0,0,0
201505010330,0,0,0
201505010331,0,0,0
201505010332,0,0,0
201505010333,0,0,0
201505010334,0,0,0
201505010335,0,0,0
201505010336,0,0,0
201505010337,0,0,0
201505010338,0,0,0
201505010339,0,0,0
201505010340,0,0,0
201505010341,0,0,0
201505010342,0,0,0
201505010343,0,0,0
201505010344,0,0,0
201505010345,0,0,0
201505010346,0,0,0
201505010347,0,0,0
201505010348,0,0,0
201505010349,0,0,0
201505010350,0,0,0
201505010351,0,0,0
201505010352,0,0,0
201505010353,0,0,0
201505010354,0,0,0
201505010355,0,0,0
201505010356,0,0,0
201505010357,0,0,0
201505010358,0,0,0
201505010359,0,0,0
201505010400,0,0,0
201505010401,0,0,0
201505010402,0,0,0
201505010403,0,0,0
201505010404,0,0,0
201505010405,0,0,0
201505010406,0,0,0
201505010407,0,0,0
201505010408,0,0,0
201505010409,0,0,0
201505010410,0,0,0
201505010411,0,0,0
201505010412,0,0,0
201505010413,0,0,0
201505010414,0,0,0
201505010415,0,0,0
201505010416,0,0,0
201505010417,0,0,0
201505010418,0,0,0
201505010419,0,0,0
201505010420,0,0,0
201505010421,0,0,0
201505010422,0,0,0
201505010423,0,0,0
201505010424,0,0,0
201505010425,0,0,0
201505010426,0,0,0
201505010427,0,0,0
201505010428,0,0,0
201505010429,0,0,0
201505010430,0,0,0
201505010431,0,0,0
201505010432,0,0,0
201505010433,0,0,0
201505010434,0,0,0
201505010435,0,0,0
201505010436,0,0,0
201505010437,0,0,0
201505010438,0,0,0
201505010439,0,0,0
201505010440,0,0,0
201505010441,0,0,0
201505010442,0,0,0
201505010443,0,0,0
201505010444,0,0,0
201505010445,0,0,0
201505010446,0,0,0
201505010447,0,0,0
201505010448,0,0,0
201505010449,0,0,0
201505010450,0,0,0
201505010451,0,0,0
201505010452,0,0,0
201505010453,0,0,0
201505010454,0,0,0
201505010455,0,0,0
201505010456,0,0,0
201505010457,0,0,0
201505010458,0,0,0
201505010459,0,0,0
201505010500,0,0,0
201505010501,0,0,0
201505010502,0,0,0
201505010503,0,0,0
201505010504,0,0,0
201505010505,0,0,0
201505010506,0,0,0
201505010507,0,0,0
201505010508,0,0,0
201505010509,0,0,0
201505010510,0,0,0
201505010511,0,0,0
201505010512,0,0,0
201505010513,0,0,0
201505010514,0,0,0
201505010515,0,0,0
201505010516,0,0,0
201505010517,0,0,0
201505010518,0,0,0
201505010519,0,0,0
201505010520,0,0,0
201505010521,0,0,0
201505010522,0,0,0
201505010523,0,0,0
201505010524,0,0,0
201505010525,0,0,0
201505010526,0,0,0
201505010527,0,0,0
201505010528,0,0,0
201505010529,0,0,0
201505010530,0,0,0
201505010531,0,0,0
201505010532,0,0,0
201505010533,0,0,0
201505010534,0,0,0
201505010535,0,0,0
201505010536,0,0,0
201505010537,0,0,0
201505010538,0,0,0
201505010539,0,0,0
201505010540,0,0,0
201505010541,0,0,0
201505010542,0,0,0
201505010543,0,0,0
201505010544,0,0,0
201505010545,0,0,0
201505010546,0,0,0
201505010547,0,0,0
201505010548,0,0,0
201505010549,0,0,0
201505010550,0,0,0
201505010551,0,0,0
201505010552,0,0,0
201505010553,0,0,0
201505010554,0,0,0
201505010555,0,0,0
201505010556,0,0,0
201505010557,0,0,0
201505010558,0,0,0
201505010559,0,0,0
201505010600,0,0,0
201505010601,0,0,0
201505010602,0,0,0
201505010603,0,0,0
201505010604,0,0,0
201505010605,0,0,0
201505010606,0,0,0
201505010607,0,0,0
201505010608,0,0,0
201505010609,0,0,0
201505010610,0,0,0
201505010611,0,0,0
201505010612,0,0,0
201505010613,0,0,0
201505010614,0,0,0
201505010615,0,0,0
201505010616,0,0,0
201505010617,0,0,0
201505010618,0,0,0
201505010619,0,0,0
201505010620,0,0,0
201505010621,0,0,0
201505010622,0,0,0
201505010623,0,0,0
201505010624,0,0,0
201505010625,0,0,0
201505010626,0,0,0
201505010627,0,0,0
201505010628,0,0,0
201505010629,0,0,0
201505010630,0,0,0
201505010631,0,0,0
201505010632,0,0,0
201505010633,0,0,0
201505010634,0,0,0
201505010635,0,0,0
201505010636,0,0,0
201505010637,0,0,0
201505010638,0,0,0
201505010639,0,0,0
201505010640,0,0,0
201505010641,0,0,0
201505010642,0,0,0
201505010643,0,0,0
201505010644,0,0,0
201505010645,0,0,0
201505010646,0,0,0
201505010647,0,0,0
201505010648,0,0,0
201505010649,0,0,0
201505010650,0,0,0
201505010651,0,0,0
201505010652,0,0,0
201505010653,0,0,0
201505010654,0,0,0
201505010655,0,0,0
201505010656,0,0,0
201505010657,0,0,0
201505010658,0,0,0
201505010659,0,0,0
201505010700,0,0,0
201505010701,0,0,0
201505010702,0,0,0
201505010703,0,0,0
201505010704,0,0,0
