date,KOPF,KHWO,KFLL,KFXE
201701010001.00,0,0,0,0
201701010002.00,0,0,0,0
201701010003.00,0,0,0,0
201701010004.00,0,0,0,0
201701010005.00,0,0,0,0
201701010006.00,0,0,0,0
201701010007.00,0,0,0,0
201701010008.00,0,0,0,0
201701010009.00,0,0,0,0
201701010010.00,0,0,0,0
201701010011.00,0,0,0,0
201701010012.00,0,0,0,0
201701010013.00,0,0,0,0
201701010014.00,0,0,0,0
201701010015.00,0,0,0,0
201701010016.00,0,0,0,0
201701010017.00,0,0,0,0
201701010018.00,0,0,0,0
201701010019.00,0,0,0,0
201701010020.00,0,0,0,0
201701010021.00,0,0,0,0
201701010022.00,0,0,0,0
201701010023.00,0,0,0,0
201701010024.00,0,0,0,0
201701010025.00,0,0,0,0
201701010026.00,0,0,0,0
201701010027.00,0,0,0,0
201701010028.00,0,0,0,0
201701010029.00,0,0,0,0
201701010030.00,0,0,0,0
201701010031.00,0,0,0,0
201701010032.00,0,0,0,0
201701010033.00,0,0,0,0
201701010034.00,0,0,0,0
201701010035.00,0,0,0,0
201701010036.00,0,0,0,0
201701010037.00,0,0,0,0
201701010038.00,0,0,0,0
201701010039.00,0,0,0,0
201701010040.00,0,0,0,0
201701010041.00,0,0,0,0
201701010042.00,0,0,0,0
201701010043.00,0,0,0,0
201701010044.00,0,0,0,0
201701010045.00,0,0,0,0
201701010046.00,0,0,0,0
201701010047.00,0,0,0,0
201701010048.00,0,0,0,0
201701010049.00,0,0,0,0
201701010050.00,0,0,0,0
201701010051.00,0,0,0,0
201701010052.00,0,0,0,0
201701010053.00,0,0,0,0
201701010054.00,0,0,0,0
201701010055.00,0,0,0,0
201701010056.00,0,0,0,0
201701010057.00,0,0,0,0
201701010058.00,0,0,0,0
201701010059.00,0,0,0,0
201701010100.00,0,0,0,0
201701010101.00,0,0,0,0
201701010102.00,0,0,0,0
201701010103.00,0,0,0,0
201701010104.00,0,0,0,0
201701010105.00,0,0,0,0
201701010106.00,0,0,0,0
201701010107.00,0,0,0,0
201701010108.00,0,0,0,0
201701010109.00,0,0,0,0
201701010110.00,0,0,0,0
201701010111.00,0,0,0,0
201701010112.00,0,0,0,0
201701010113.00,0,0,0,0
